Sample,Trump (R),Biden (D),days_out,Other,end_date,state
1084,466,575,241,43,2020-03-07,US
1000,420,480,240,100,2020-03-08,US
1261,517,656,240,88,2020-03-08,US
6112,2506,2934,240,672,2020-03-08,US
956,402,421,239,133,2020-03-09,US
1191,512,560,238,119,2020-03-10,US
1441,663,692,237,86,2020-03-11,US
1240,508,558,237,174,2020-03-11,US
1500,741,759,236,0,2020-03-12,US
900,387,468,235,45,2020-03-13,US
1000,430,470,233,100,2020-03-15,US
9979,4191,4790,233,998,2020-03-15,US
1015,436,518,233,61,2020-03-15,US
955,353,439,232,163,2020-03-16,US
1129,463,542,231,124,2020-03-17,US
1100,516,584,229,0,2020-03-19,US
754,339,362,226,53,2020-03-22,US
18136,7617,8524,226,1995,2020-03-22,US
1500,615,735,225,150,2020-03-23,US
1000,410,510,224,80,2020-03-24,US
3763,1468,1731,224,564,2020-03-24,US
1170,491,538,224,141,2020-03-24,US
1011,404,495,224,112,2020-03-24,US
845,397,414,223,34,2020-03-25,US
889,400,409,222,80,2020-03-26,US
1169,468,538,222,163,2020-03-26,US
1209,544,665,222,0,2020-03-26,US
1845,793,904,220,148,2020-03-28,US
1032,442,527,220,63,2020-03-28,US
1000,400,450,220,150,2020-03-28,US
17323,7276,7969,219,2078,2020-03-29,US
777,334,365,218,78,2020-03-30,US
930,372,428,217,130,2020-03-31,US
1194,501,549,217,144,2020-03-31,US
980,402,461,216,117,2020-04-01,US
1200,540,516,214,144,2020-04-03,US
937,410,470,213,57,2020-04-04,US
15493,6507,7127,212,1859,2020-04-05,US
1003,431,502,212,70,2020-04-05,US
875,368,464,211,43,2020-04-06,US
604,236,266,211,102,2020-04-06,US
2077,852,1018,211,207,2020-04-06,US
959,355,412,210,192,2020-04-07,US
1147,482,551,210,114,2020-04-07,US
743,327,357,210,59,2020-04-07,US
1139,456,558,210,125,2020-04-07,US
1107,465,465,210,177,2020-04-07,US
3168,1297,1483,210,388,2020-04-07,US
814,352,430,207,32,2020-04-10,US
1002,451,491,207,60,2020-04-10,US
4125,1856,1939,205,330,2020-04-12,US
25372,10656,11417,205,3299,2020-04-12,US
732,308,395,203,29,2020-04-14,US
937,375,422,203,140,2020-04-14,US
1166,501,560,203,105,2020-04-14,US
788,364,394,203,30,2020-04-14,US
1349,540,674,202,135,2020-04-15,US
900,378,441,202,81,2020-04-15,US
5036,2165,2417,202,454,2020-04-15,US
2190,1029,1161,201,0,2020-04-16,US
1992,857,936,201,199,2020-04-16,US
745,330,389,199,26,2020-04-18,US
1178,518,565,199,95,2020-04-18,US
1200,480,588,199,132,2020-04-18,US
31482,13222,14797,198,3463,2020-04-19,US
1917,767,939,198,211,2020-04-19,US
958,383,402,197,173,2020-04-20,US
862,362,483,197,17,2020-04-20,US
829,367,437,196,25,2020-04-21,US
1000,430,520,196,50,2020-04-21,US
1500,600,735,196,165,2020-04-21,US
3806,1484,1789,196,533,2020-04-21,US
1144,480,549,196,115,2020-04-21,US
850,382,418,196,50,2020-04-21,US
784,347,409,192,28,2020-04-25,US
1000,380,440,192,180,2020-04-25,US
1000,404,504,192,92,2020-04-25,US
1200,456,552,192,192,2020-04-25,US
30560,12835,14058,191,3667,2020-04-26,US
766,347,377,189,42,2020-04-28,US
1200,556,644,189,0,2020-04-28,US
1222,501,574,189,147,2020-04-28,US
885,384,463,189,38,2020-04-28,US
1876,732,844,188,300,2020-04-29,US
948,408,408,188,132,2020-04-29,US
19505,7802,8582,187,3121,2020-04-30,US
1671,719,819,186,133,2020-05-01,US
765,347,379,185,39,2020-05-02,US
1200,468,552,185,180,2020-05-02,US
1489,655,700,184,134,2020-05-03,US
31117,13069,14314,184,3734,2020-05-03,US
1991,816,896,184,279,2020-05-03,US
739,303,370,183,66,2020-05-04,US
758,337,389,182,32,2020-05-05,US
1015,416,436,182,163,2020-05-05,US
1209,508,556,182,145,2020-05-05,US
1224,514,551,182,159,2020-05-05,US
783,347,396,182,40,2020-05-05,US
12000,5280,5880,181,840,2020-05-06,US
957,392,392,181,173,2020-05-06,US
12000,5280,5880,180,840,2020-05-07,US
12000,5280,5880,179,840,2020-05-08,US
1384,554,650,178,180,2020-05-09,US
726,323,363,178,40,2020-05-09,US
12000,5280,5760,178,960,2020-05-09,US
1200,456,528,178,216,2020-05-09,US
12000,5400,5760,177,840,2020-05-10,US
27754,11657,12489,177,3608,2020-05-10,US
1001,460,511,177,30,2020-05-10,US
12000,5400,5760,176,840,2020-05-11,US
728,315,379,175,34,2020-05-12,US
12000,5400,5760,175,840,2020-05-12,US
973,370,448,175,155,2020-05-12,US
1175,505,552,175,118,2020-05-12,US
666,288,334,175,44,2020-05-12,US
12000,5280,5760,174,960,2020-05-13,US
1708,803,905,173,0,2020-05-14,US
12000,5280,5880,173,840,2020-05-14,US
950,390,399,173,161,2020-05-14,US
20333,7930,8743,172,3660,2020-05-15,US
12000,5160,5880,172,960,2020-05-15,US
780,323,402,171,55,2020-05-16,US
12000,5280,5880,171,840,2020-05-16,US
1424,641,684,170,99,2020-05-17,US
12000,5280,5880,170,840,2020-05-17,US
28159,11545,12953,170,3661,2020-05-17,US
12000,5280,5880,169,840,2020-05-18,US
1323,516,662,169,145,2020-05-18,US
970,398,417,169,155,2020-05-18,US
1000,430,480,168,90,2020-05-19,US
774,321,399,168,54,2020-05-19,US
12000,5280,5760,168,960,2020-05-19,US
1235,519,580,168,136,2020-05-19,US
957,364,450,168,143,2020-05-19,US
800,338,416,168,46,2020-05-19,US
1000,420,510,167,70,2020-05-20,US
12000,5280,5760,167,960,2020-05-20,US
1207,483,579,167,145,2020-05-20,US
12000,5280,5880,166,840,2020-05-21,US
1218,512,560,166,146,2020-05-21,US
12000,5160,5880,165,960,2020-05-22,US
766,327,413,164,26,2020-05-23,US
12000,5280,5760,164,960,2020-05-23,US
12000,5280,5760,163,960,2020-05-24,US
30317,12430,13946,163,3941,2020-05-24,US
12000,5400,5760,162,840,2020-05-25,US
793,350,411,161,32,2020-05-26,US
1001,400,531,161,70,2020-05-26,US
12000,5280,5880,161,840,2020-05-26,US
1157,486,521,161,150,2020-05-26,US
686,313,342,161,31,2020-05-26,US
12000,5280,5760,160,960,2020-05-27,US
3732,1455,1679,160,598,2020-05-27,US
1200,480,516,160,204,2020-05-27,US
12000,5280,5760,159,960,2020-05-28,US
835,359,443,159,33,2020-05-28,US
12000,5280,5880,158,840,2020-05-29,US
789,358,392,157,39,2020-05-30,US
12000,5280,5880,157,840,2020-05-30,US
861,344,413,157,104,2020-05-30,US
1200,468,552,157,180,2020-05-30,US
1457,597,699,156,161,2020-05-31,US
18132,6709,8341,156,3082,2020-05-31,US
12000,5280,5880,156,840,2020-05-31,US
31983,13113,14712,156,4158,2020-05-31,US
1486,639,698,155,149,2020-06-01,US
12000,5280,5760,155,960,2020-06-01,US
1624,633,828,155,163,2020-06-01,US
742,304,386,155,52,2020-06-01,US
795,353,405,154,37,2020-06-02,US
1007,463,463,154,81,2020-06-02,US
12000,5160,5880,154,960,2020-06-02,US
964,357,453,154,154,2020-06-02,US
1244,498,585,154,161,2020-06-02,US
1000,420,490,154,90,2020-06-02,US
12000,5160,5880,153,960,2020-06-03,US
1431,677,754,153,0,2020-06-03,US
