date,lower_rep,mean_rep,upper_rep,lower_dem,mean_dem,upper_dem
2020-07-01,11,17.54792,23,10,15.71804,22
2020-07-02,11,17.60012,23,10,15.66968,22
2020-07-03,11,17.5878,23,10,15.67836,22
2020-07-04,11,17.47276,23,10,15.78912,22
2020-07-05,11,17.4564,23,10,15.8068,22
2020-07-06,11,17.42472,23,10,15.83832,22
2020-07-07,11,17.44068,23,10,15.82412,22
2020-07-08,11,18.2136,24,10,15.78564,23
2020-07-09,11,18.18024,24,10,15.81508,23
2020-07-10,11,18.15996,24,10,15.83556,23
2020-07-11,11,18.2344,24,10,15.76176,23
2020-07-12,11,18.2124,24,10,15.78324,23
2020-07-13,11,18.19492,24,10,15.80092,23
2020-07-14,11,18.26016,24,10,15.73548,23
2020-07-15,11,18.29076,24,10,15.70488,23
2020-07-16,11,18.26696,24,10,15.72856,23
2020-07-17,11,18.3934,24,10,15.60284,23
2020-07-18,11,18.37228,24,10,15.6234,23
2020-07-19,11,18.38632,24,10,15.60856,23
2020-07-20,11,18.4166,24,10,15.57924,23
2020-07-21,11,18.43716,24,10,15.55804,23
2020-07-22,11,18.42352,24,10,15.57268,23
2020-07-23,11,18.41756,24,10,15.57844,23
2020-07-24,11,18.22768,24,10,15.76884,23
2020-07-25,11,18.20284,24,10,15.79224,23
2020-07-26,11,18.20204,24,10,15.79304,23
2020-07-27,10,18.06696,24,10,15.9292,24
2020-07-28,10,17.89576,23,11,16.09944,24
2020-07-29,10,17.92864,23,11,16.06716,24
2020-07-30,10,17.8098,23,11,16.18568,24
2020-07-31,10,17.89912,24,10,16.09596,24
2020-08-01,10,17.9414,24,10,16.05296,24
2020-08-02,10,17.9024,24,10,16.09184,24
2020-08-03,10,18.0382,24,10,15.95552,24
2020-08-04,10,18.02336,24,10,15.97204,24
